song_name,artist,song_lyrics,song_composition,song_lang
 Cala Meu Amor  ,  Tom Jobim ,  Entra meu amor Bom você voltar De onde vem você cansado assim Leio tanta dor no seu triste olhar Nesse olhar que outrora se acendia só pra mim Fala meu amor Cala meu amor É melhor você nada dizer Vem aos braços meus Que os abraços meus Vão finalmente lhe fazer chorar  , Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Cavaleiro Monge  ,  Tom Jobim ,"  Fm Do vale à montanha       Bb       Fm Da montanha ao monte           Eb/F Cavalo de sombra           Ab7+/9 Cavaleiro monge                Fm Por casas, por prados         Bb       Fm Por quinta e por fonte              Ab7+/9  Eb7(9/4)  Ab7+/9 Caminhais aliados              Fm7 Do vale à montanha       Bb7      Fm7 Da montanha ao monte           Eb/F Cavalo de sombra           Ab7+/9 Cavaleiro monge               D7/9+ Por penhascos pretos           C#7+/9 Atrás e defronte             Gb6(5-/7+) Caminhais secretos              Fm Do vale à montanha       Bb       Fm Da montanha ao monte           Eb/F Cavalo de sombra           Ab7+/9 Cavaleiro monge               Fm Por plainos desertos         Bb  Fm Sem ter horizontes     Cm      F Caminhais libertos              F#m Do vale à montanha       B        F#m Da montanha ao monte           E/F# Cavalo de sombra           A7+/9 Cavaleiro monge              Eb7/9+ Por ínvios caminhos              D7+/9 Por rios sem ponte            C#m7 Caminhos sozinhos              Gm Do vale à montanha       C        Gm Da montanha ao monte           F/G Cavalo de sombra           Bb7+/9 Cavaleiro monge                  Gm Por quanto é sem fim        C          Gm Sem ninguém que o conte              Ab7+/9    G  ", Tom Jobim / Fernando Pessoa. ,pt
 Cinema  ,  Tom Jobim ,"  Was once a lady broken-hearted and undone  She nearly lost her faith she'd ever meet her mate one day,  Though love was nearby, in fact, about to make its entrance  Later in the script, but in the meantime...  Behind her smile lived a loneliness  No Leonardo could hide  When hearts collide  Can they ever repair?  Love never lasted off-screen;  How could she fly without wings?  Losing each new leading man  To those unhappy endings.  Behind her tears ebbed an emptiness  Vast as an ocean, as blue,  But no one knew  Of the weather within.  Cinema aimed at the heart,  But none of the loves scenes were real:  Simply rehearsing a part  She'd forgotten how to feel.  Enter the one whom the author created especially for her;  The focus blurs  The composer writes strings.  Cinema straight from the heart,  Shot on location within,  We see the past fade to black;  We see happiness begin.  ", Antonio Carlos Jobim / Michael Franks. ,en
 Don't Ever Go Away  ,  Tom Jobim ,"  Intro: Bbmaj7 Dm/A G#6 G#m6 Ebmaj7 Ebm  Bbmaj7     Bb6             Bbmaj7  B6           Cm7                      Adim  Ah! take a look and you'll see the way I have become and the waythings became  Cm7         G#m6       Cm7     F6         Dm7        Fm6              G7/-9  Sadness and sorrow are here in all little things you touchedwith your hands  Ebmaj7                 Edim    A7/-9       Dm7          Bbm6         Dm7/-5  This loving home was a home so happy to protect you and keep youwith care      G7/+5          Cm7         G#m6          Cm7          F6              Dm7   Fm6 G7/-9  The flowers in the window were smiling, were glowing justknowing you were there  Cm7                   F7                  Dm7 Fm6 G7/-9  Listen my love, never more don't ever go away  Cm7         G#m6          Cm7       F7             F7/4 Bb7/+5  We are your life and your dream and we want you to stay  Ebmaj7                   Edim Ebm6                     Bbmaj7 D7                 G#maj7/-5  Come in my love, come to me   don't let this heartless world bring another ""good-bye""  G7/-9           Cm9              F#6           F7                      Bbmaj7  Embrace me in a simple way don't speak don't remember anddarling don't cry  ",Not known,en
 Espelho das águas  ,  Tom Jobim ,  Meus olhos cansados procuram Descanso no verde do mar Como eu procurei em você O descanso que a vida não dá Seria talvez bem mais fácil Deixar a corrente levar Quem sabe no fundo eu quizesse Que tu me viesses salvar Depois lá no alto das nuvens Você me ensinava a voar Mais tarde no fundo da mata Você me ensinava a beijar Meus olhos cansados do mundo Não se cansam de contemplar Tua face teu riso moreno Teus olhos do verde do mar Meus olhos cansados de tudo Não cansam de te procurar Meus olhos procuram teus olhos No espelho das águas do mar Supõe que eu estivesse morrendo Mas não te quizesse alarmar Pensei que você não soubesse Que eu me queria matar Meus olhos cansados de tudo Não cansam de te procurar Meus olhos procuram teus olhos No espelho das águas do mar  , Antonio Carlos Jobim. ,pt
 Estamos Aí  ,  Tom Jobim ,  Estamos aí  Gente amiga que muito se quer  Estamos aí  Pro que der e vier  Estamos aí  Pro amor e pra desilusão  Mas como é bom cantar  Multiplicar  A magia de cada canção  Música  Como é bom cantar  Música  Deixa pensar que pra amar é preciso fingir  Deixa dizer que é preciso mentir  Deixa falar que a poesia não pode existir  Deixa pra lá  Estamos aí  , Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 I Was Just One More For You  ,  Tom Jobim ,"  I was just one more for you  You were the only for me  You were my bright shinning sun  My hope, my dream  My everything  The beautiful things of life  Lost all their meaning because  Because I just don't have you to love  ", Antonio Carlos Jobim / Billy Blanco / Ray Gilbert. ,en
" Meninos, Eu Vi  ",  Tom Jobim ,"  Um grande amor  Pra viver um grande amor  Eu vi o grande amor no claro olhar da minha amada, eu vi  Que todo grande amor ainda é pouco, ainda é nada, eu vi  Amores que jamais verei meninos, eu vivi  Vivendo a poesia da verdade  Também vi a cidade incendiada, eu tive medo  Eu vi a escuridão  Eu vi o que não quis  Amei mais do que pude, eu fiquei cego de paixão  E acho que enfim eu vi um homem ser feliz  Amei mais do que pude, eu fiquei cego de paixão  E acho que enfim eu vi um homem ser feliz  Ah! juro que um dia eu vi um homem ser feliz  Eu vi o grande amor escancarado em cada cara, eu vi  O amor evaporando pelos céus da Guanabara  Amores de imortal verão meninas, como eu vi  Vivendo a poesia de verdade  Eu vi uma cidade enfeitiçada e tive medo  Eu vi um coração olhando o meu país  Amei mais do que pude, eu fiquei cego de paixão  E acho que enfim eu vi o homem ser feliz  Amei mais do que pude, eu fiquei cego de paixão  E acho que enfim eu vi o homem ser feliz  Ah! Juro que um dia eu vi o homem ser feliz  ", Antonio Carlos Jobim / Chico Buarque. ,pt
 O Amor Em Paz  ,  Tom Jobim ,  Eu amei E amei ai de mim muito mais Do que devia amar E chorei Ao sentir que iria sofrer E me desesperar Foi então Que da minha infinita tristeza Aconteceu você Encontrei em você A razão de viver E de amar em paz E não sofrer mais Nunca mais Pois o amor É a coisa mais triste Quando se desfaz O amor é a coisa mais triste Quando se desfaz  , Tom Jobim / Vinícius de Moraes. ,pt
 O Bôto  ,  Tom Jobim ,"  Na praia de dentro tem areia Na praia de fora tem o mar Um bôto casado com sereia Navega num rio pelo mar O corpo de um bicho deu na praia E a alma perdida quer voltar Caranguejo conversa com arraia Marcando a viagem pelo ar Ainda ontem vim de lá do Pilar Ainda ontem vim de lá do Pilar Já tô com vontade de ir por aí Ontem vim de lá do Pilar Ontem vim de lá do Pilar Com vontade de ir por aí Na ilha deserta o sol desmaia Do alto do morro vê-se o mar Papagaio discute com jandaia Se o homem foi feito pra voar Cristina, Cristina Cristina, Cristina Desperta, desperta Desperta, desperta Vem cá Inhambu cantou lá na floresta E o velho jereba fêz-se ao ar Sapo querendo entrar na festa Viola pesada pra voar Ainda ontem etc... Ontem vim etc... Camiranga urubu mestre do vento Urubu caçador mestre do ar Urutau cantando num lamento Pra lua redonda navegar Ainda ontem etc... Ontem vim etc... ah - ah Na enseada negra vista em sonho Dorme um veleiro sobre o mar No espelho das aguas refletido Navega um veleiro pelo ar  ", Antonio Carlos Jobim / Jararaca. ,pt
 Pardon My English  ,  Tom Jobim ,"  When you said goodbye, did I sit an' cry? Wanna go an' die? Oh! No Siree! Made another wish get another fish! Lot's of pretty fish are in the sea! You think that you're my one and only Pardon my English, I ain't lonely! Ain't about to brood in a happy mood! Even sat and booed your photographs! Ain't a total wreck you can double check! Stickin' out your neck is for giraffes! So, if some night you want me baby I'll meet you face to face, you can name the place! I'll be in the pink I'll buy the drink! After one or two I'll tell you why we're through! Absolutely through I think! You think that you're my one an' only Pardon my English, I ain't lonely! Ain't about to brood dream a happy mood! Even sat and booed your photographs! Ain't a total wreck you can double check! Stickin' out your neck is for giraffes! So, if some night you want me baby Meet you face to face, you can name the place! I'll be in the pink I'll buy the drink! After one or two I'll tell you that I'm through! Absolutely through I think!  ",Not known,en
 Pato Preto  ,  Tom Jobim ,"  O pato preto de asa branca  Já fez morada no brejão  Isso é sinal que a chuva vem  Que vai ter safra no sertão  O pato preto é da floresta  O paturi é do sertão  A minha vida é cardigueira  Avoante arribação  A minha vida é muito triste  A te esperar na solidão  Ah! se eu soubesse que era assim  Eu juro, eu não casava não  Eu vou me embora pra São Paulo  Vou arranjar uma viração  Depois te pego com as crianças  A sanfona e o violão  E os meninos tão bonitos  Inocentes do sertão  E a danada desta seca  Ai meu Deus que judiação  Leva nós lá pra São Paulo  Aqui não fico mais não  A minha vida é só tristeza  É desespero, é solidão  O Zeca foi lá pra São Paulo  Acho que não volta mais não  Era uma nuvem tão bonita  Era uma rosa era um balão  O camiranga deu uma volta  E sumiu na imensidão  Ó o dandá, ó o dandá  Ó o dandá, ó o dandá  o dandá, ó o dandá  ", Antonio Carlos Jobim. ,pt
 Piano Na Mangueira  ,  Tom Jobim ,"  Mangueira Estou aqui na plataforma Da estação primeira O morro veio me chamar De terno branco E chapéu de palha Vou me apresentar À minha nova parceira (majestosa) Mandei subir o piano Prá mangueira A minha música não é de Levantar poeira Mas pode entrar no barracão Onde a cabrocha pendura A saia ao amanhecer da Quarta-feira, Mangueira Estação primeira Pela vida inteira Mangueira  ", Antonio Carlos Jobim / Chico Buarque. ,pt
 Preciso Aprender a Ser Só  ,  Tom Jobim ,"  Ah, se eu te pudesse fazer entender Sem teu amor eu não posso viver Que sem nós dois o que resta sou eu Eu assim tão só E eu preciso aprender a ser só Poder dormir sem sentir teu amor A ver que foi só um sonho e passou Ah, o amor Quando é demais ao findar leva a paz Me entreguei sem pensar Que a saudade existe e se vem É tão triste Vê Meus olhos choram a falta dos teus Estes teus olhos que foram tão meus Por Deus entenda que assim eu não vivo Eu morro pensando no nosso amor Vê Meus olhos choram a falta dos teus Estes teus olhos que foram tão meus Por Deus entenda que assim eu não vivo Eu morro pensando no nosso amor  ", Marcos Valle / Sergio Valle. ,pt
 Serenata Do Adeus  ,  Tom Jobim ,"  Ai, a lua que no céu surgiu Não é a mesma que te viu Nascer nos braços meus Cai, a noite sobre o nosso amor E agora só restou do amor Uma palavra: Adeus Ai, vontade de ficar mas tendo que ir embora Ai, que amar é se ir morrendo pela vida afora É refletir na lágrima, um momento breve De uma estrela pura cuja luz morreu Ai, mulher, estrela a refulgir Parte, mas antes de partir Rasga meu coração Crava as garras no meu peito em dor E esvai em sangue todo o amor Toda desilusão Ai, vontade de ficar mas tendo que ir embora Ai, que amar é se ir morrendo pela vida afora É refletir na lágrima um momento breve De uma estrela pura Cuja luz morreu Numa noite escura Triste como eu  ", Tom Jobim. ,pt
 Três Apitos  ,  Tom Jobim ,  Quando o apito da fábrica de tecidos Vem ferir os meus ouvidos Eu me lembro de você Mas você anda Sem dúvida bem zangada E está interessada Em fingir que não me vê Você que atende ao apito De uma chaminé de barro Por que não atende ao grito tão aflito Da buzina do meu carro? Você no inverno Sem meias vai pro trabalho Não faz fé com agasalho Nem no frio você crê Mas você é mesmo Artigo que não se imita Quando a fábrica apita Faz reclame de você Sou do sereno Poeta muito soturno Vou virar guarda noturno E você sabe porque Mas você não sabe Que enquanto você faz pano Faço junto do piano Estes versos prá você Nos meus olhos você vê Que eu sofro cruelmente Com ciúmes do gerente impertinente Que dá ordens a você  , Noel Rosa. ,pt
 Um Nome de Mulher  ,  Tom Jobim ,"  Um nome de mulher Um nome só e nada mais E um homem que se preza Em prantos se desfaz E faz o que não quer E perde a paz Eu, por exemplo, não sabia, ai, ai O que era amar Depois você me apareceu E lá fui eu E ainda vou mais  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Useless Landscape  ,  Tom Jobim ,  There's no use Of a moonlight glow Or the peaks where winter snows What's the use of the waves that will break In the cool of the evening What is the evening Without you It's nothing It may be You will never come If you never come to me What's the use of my wonderful dreams And why would they need me Where would they lead me Without you To nowhere Just nowhere  , Aloysio de Oliveira / Antonio Carlos Jobim / Ray Gilbert. ,en
 Valsa do Amor de Nós Dois  ,  Tom Jobim ,"  Vem ver o mar Vem que Copacabana é linda Vamos ser só nós dois E o que vai ser depois É melhor, é melhor nem pensar Ah, namorar ... Os casais nem parecem saber Nos seus beijos de amor E o que resta depois É a valsa do amor de nós dois Pelas linhas sinuosas Do passeio à beira-mar Todo o Rio de Janeiro Vai querer dançar E nós, depois Partiremos num beijo de luz Pelo céu ao luar A dançar, a dançar Esta valsa do amor De nós dois  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Canção da Noiva  ,  Tom Jobim ,  É tão triste ver partir alguem que a gente quer com tanto amor E suportar a agonia de esperar voltar Viver olhando o céu e o mar A incerteza a torturar A gente fica só  tão só A gente fica só  Tão só... É triste esperar...  , Dorival Caymmi. ,pt
 Engano  ,  Tom Jobim ,"  Você sempre me diz  Que é falso meu amor  Que os beijos que lhe dou  Não tem nenhum calor  Que eu sempre fingi  Querer mas não lhe quiz  Que o meu, que o nosso amor  Com outros dividi  Você não tem razão  Fala por falar  Porque meu coração  Há muito que é seu.  Na vida que eu vivi  Nos sonhos que eu sonhei  No céu, na terra enfim  Eu sempre lhe encontrei  ", Antonio Carlos Jobim / Luiz Bonfá. ,pt
 Frevo  ,  Tom Jobim ,"  Vem  Vamos dançar ao sol  Vem  Que a banda vai passar  Vem  Ouvir o toque dos clarins  Anunciando o carnaval  E vão brilhando os seus metais  Por entre cores mil  Verde mar, céu de anil  Nunca se viu tanta beleza  Ai, meu Deus  Que lindo o meu Brasil  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Isto Eu Não Faço Não  ,  Tom Jobim ,"  Você, arruinou minha vida  me fingiu ser amiga  num momento qualquer  você, entortou meu caminho  mas quem vive sozinho  sabe bem o que quer  Você, pensou que eu estava acabado  que ia chorar ao seu lado  como você errou, mulher!  mesmo porque  eu não vivo a seu gosto  e prefiro o desgosto de viver na solidão  você, esperou que um dia  implorar eu iria  como quem pede perdão  pensou que a esse ponto eu chegasse  pensou que eu ainda voltasse  mas isso eu não faço não.  ", Antonio Carlos Jobim. ,pt
 It Was Night  ,  Tom Jobim ,"  It was night and you walked with me On the sand by a moonlight sea In the warm afterglow of the wine I believed you would always be mine It was night and a comet fell Such a night how could I foretell Just how soon and lightly you'd forget it And how long and sadly I'd regret it It was night And for me, alas, It was love  ", Antonio Carlos Jobim / Gene Lees / Newton Mendonça. ,en
 Maria da Graça  ,  Tom Jobim ,"  Não é inutilmente  Que existe tanta gente  Que é louca por você, Maria  Você tem tanta graça  Que depois que você passa  O povo diz assim: Maria!  Contando alguma coisa  Ou cantando alguma coisa  Seu nome rima sempre com alegria  Por isso é que eu conto  Que sempre que eu te encontro  Eu acho que não há outra Maria  Não é inultimente  Que existe tanta gente  Que é louca por você, Maria  Por isso é que sempre que eu conto  Que sempre que eu te encontro  Eu acho que não há outra Maria  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Moto-Contínuo  ,  Tom Jobim ,"  Um homem pode ir ao fundo do fundo do fundo se for por você Um homem pode tapar os buracos do mundo se for por você Pode inventar qualquer mundo, como um vagabundo se for por você Basta sonhar com você Juntar o suco dos sonhos e encher um açude se for por você A fonte da juventude correndo nas bicas se for por você Bocas passando saúde com beijos nas bocas se for por você Homem também pode amar e abraçar e afagar seu ofício porque Vai habitar o edifício que faz pra você E no aconchego da pele na pele, da carne na carne, entender Que homem foi feito direito, do jeito que é feito o prazer Homem constrói sete usinas usando a energia que vem de você Homem conduz a alegria que sai das turbinas de volta a você E cria o moto-contínuo da noite pro dia se for por você E quando um homem já está de partida, da curva da vida ele vê Que o seu caminho não foi um caminho sozinho porque Sabe que um homem vai fundo e vai fundo e vai fundo se for por você  ", Chico Buarque / Edú Lobo. ,pt
 Na Hora do Adeus  ,  Tom Jobim ,"  O amor só traz tristeza Saudade, desilusão Porém maior beleza Nunca existiu pra iluminar Meu pobre coração Há que diga que o amor que se tem É uma graça de Deus Outros dizem que a graça se acaba Na hora do adeus Mas, seja como for Perdoa, amor E volta aos braços meus  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Na Solidão da Noite  ,  Tom Jobim ,"  A noite chegou, todos dormem E a lua aparece no céu As ruas ficaram vazias Está cheio de estrelas o céu O vento chegou de repente E nuvens cobriram o céu Entre a terra e o manto estrelado Grossas nuvens teceram um véu Na solidão de uma noite Escura, soturna Acordei sem querer O vento bateu na janela Disse o nome dela Disse o nome do meu bem Que não vem pra me consolar Deste amor que eu não pude esquecer Vai, Noite sem lua Noite soturna Noite sem fim A noite sem fim A noite sem fim  ", Antonio Carlos Jobim. ,pt
 O Trem de Ferro  ,  Tom Jobim ,"  Café com pão Café com pão Café com pão Virgem Maria que foi isto maquinista? Agora sim Café com pão Agora sim Café com pão Voa, fumaça Corre, cerca Ai seu foguista Bota fogo Na fornalha Que eu preciso Muita força Muita força Muita força Oô.. Foge, bicho Foge, povo Passa ponte Passa poste Passa pato Passa boi Passa boiada Passa galho De ingazeira Debruçada Que vontade De cantar! Oô... Quando me prendero No canaviá Cada pé de cana Era um oficia Ôo... Menina bonita Do vestido verde Me dá tua boca Pra matá minha sede Ôo... Vou mimbora voou mimbora Não gosto daqui Nasci no sertão Sou de Ouricuri Ôo... Vou depressa Vou correndo Vou na toda Que só levo Pouca gente Pouca gente Pouca gente...  ",Not known,pt
 Oficina  ,  Tom Jobim ,"  Hoje na oficina sei que vou me aborrecer  Pois o meu patrão não vai querer compreender  Com este salário não se pode mais viver  Sei que sou pingente  Dependente do dever  Sei que sou decente  Mas também posso morrer  Sei que, de repente, estou contente, vou viver  Canta, coração  Canta, coração  Diga ao Delfim que assim ninguém pode viver  ", Antonio Carlos Jobim. ,pt
 Olhos Nos Olhos  ,  Tom Jobim ,"  Quando você me deixou, meu bem Me disse pra ser feliz e passar bem Quis morrer de ciúme, quase enlouqueci Mas depois, como era de costume, obedeci Quando você me quiser rever Já vai me encontrar refeita, pode crer Olhos nos olhos Quero ver o que você faz Ao sentir que sem você eu passo bem demais E que venho até remoçando Me pego cantando, sem mais, nem por quê Tantas águas rolaram Quantos homens me amaram Bem mais e melhor que você Quando talvez precisar de mim Cê sabe que a casa é sempre sua, venha sim Olhos nos olhos Quero ver o que você diz Quero ver como suporta me ver tão feliz  ", Chico Buarque de Hollanda. ,pt
 Quando A Lembrança Me Vem  ,  Tom Jobim ,  Sei que não devo pensar  Naquele amor infeliz  Tudo que eu tinha pra dar  Você não quis  Não vou mais te procurar  Como outras vezes eu fiz  Nada mais posso esperar  Daquele amor infeliz...  Quando a lembrança me vem  Sofro pelo mal que não fiz  Preciso esquecer  Mas a saudade me diz  Que é você  O meu bem  , Antonio Carlos Jobim / João Donato. ,pt
 Someone To Light Up My Life  ,  Tom Jobim ,  Go on your way with a cloudless blue sky above May all your days be a wonderful song of love Open your arms and sing of all the hidden hopes you're ever treasured And live out your life in peace Where shall I look for the love to replace you? Someone to light up my life Someone with strange little ways Eyes like a blue autumn haze Someone with your laughing style And a smile that I know will keep hauting me endlessly Sometimes in stars or the swift flight of sea-birds I catch a moment of you That's why I walk all alone Searching for something unknown Searching for something or someone to light up my life That's why I walk all alone Searching for something unknown Searching for something or someone to light up my life  , Antonio Carlos Jobim / Gene Lees / Vinícius de Moraes. ,en
 Somewhere In The Hills  ,  Tom Jobim ,"  His eyes could laugh  I saw them laugh  His lips a world of thrills  The moon looked down and smiled  On a tender love to see it  Blossoming somewhere in the hills  New day, new dawn  And I have gone  In search of other thrills  The moon looks down and sighs  For those laughing eyes are crying  Silently somewhere in the hills  All night long we would samba  Laugh and sing with our friends  Love can be like a samba  Full of fun then it ends  O morro não tem vez  E o que ele faz já foi demais  Mas olhem bem vocês  Quando derem vez ao morro  Toda a cidade vai cantar  ", Antonio Carlos Jobim / Ray Gilbert / Vinícius de Moraes. ,en
 That Look You Wear  ,  Tom Jobim ,"  Ah, that look you wear  When you come to me  Promises a million magic things that cannot be  Making it seems  There is hope for my dream  That look you wear let me think you could care  Ah, but then I fear  When illusion dies  You will disappear  And I'll be left  With lonely sighs  If it were only sincere  That look you wear in your eyes  ", Antonio Carlos Jobim. ,en
 Chega de Saudade  ,  João Gilberto ,"  Vai, minha tristeza, e diz a ela Que sem ela não pode ser Diz-lhe numa prece que ela regresse Porque eu não posso mais sofrer Chega de saudade, a realidade é que Sem ela não há paz, não há beleza É só tristeza e a melancolia que não sai de mim Não sai de mim, não sai Mas se ela voltar, se ela voltar Que coisa linda, que coisa louca Pois há menos peixinhos a nadar no mar Do que os beijinhos que eu darei na sua boca Dentro dos meus braços Os abraços hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é pra acabar com esse negócio de viver longe de mim Vai, minha tristeza, e diz a ela Que sem ela não pode ser Diz-lhe numa prece que ela regresse Porque eu não posso mais sofrer Chega de saudade, a realidade é que Sem ela não há paz, não há beleza É só tristeza e a melancolia que não sai de mim Não sai de mim, não sai Mas se ela voltar, se ela voltar Que coisa linda, que coisa louca Pois há menos peixinhos a nadar no mar Do que os beijinhos que eu darei na sua boca Dentro dos meus braços Os abraços hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é pra acabar com esse negócio de viver longe de mim Não quero mais esse negócio de você viver assim Vamos deixar desse negócio de você viver sem mim  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Coisa Mais Linda  ,  João Gilberto ,"  Coisa mais bonita é você, assim, justinho você E eu juro, eu não sei por que você Você é mais bonita que a flor Quem dera, a primavera da flor Tivesse todo esse aroma de beleza que é o amor Perfumando a natureza, numa forma de mulher Porque tão linda assim não existe, a flor Nem mesmo a cor não existe E o amor, nem mesmo o amor existe Porque tão linda assim não existe, a flor Nem mesmo a cor não existe E o amor, nem mesmo o amor existe  ", Carlos Lyra / Vinícius de Moraes. ,pt
 Aquarela do Brasil  ,  João Gilberto ,"  Brasil! Meu Brasil brasileiro Meu mulato inzoneiro Vou cantar-te nos meus versos Brasil, samba que dá Bamboleio, que faz gingar O Brasil do meu amor Terra de nosso Senhor Abre a cortina do passado Tira a mãe preta do cerrado Bota o Rei Congo no congado Canta de novo o trovador A merencória à luz da Lua Toda canção do seu amor Quero ver essa dona caminhando Pelos salões arrastando O seu vestido rendado Esse coqueiro que dá coco Oi! Onde amarro a minha rede Nas noites claras de luar Por essas fontes murmurantes Onde eu mato a minha sede Onde a Lua vem brincar Esse Brasil lindo e trigueiro É o meu Brasil brasileiro Terra de samba e pandeiro Brasil! Terra boa e gostosa Da morena sestrosa De olhar indiferente Brasil, samba que dá Para o mundo se admirar O Brasil, do meu amor Terra de nosso Senhor Abre a cortina do passado Tira a mãe preta do cerrado Bota o Rei Congo no congado Canta de novo o trovador A merencória à luz da Lua Toda canção do seu amor Essa dona caminhando Pelos salões arrastando O seu vestido rendado Esse coqueiro que dá coco Onde amarro a minha rede Nas noites claras de luar Por essas fontes murmurantes Onde eu mato a minha sede Onde a Lua vem brincar Esse Brasil lindo e trigueiro É o meu Brasil brasileiro Terra de samba e pandeiro Brasil! Meu Brasil brasileiro Mulato inzoneiro Vou cantar-te nos meus versos Brasil, samba que dá Bamboleio, que faz gingar O Brasil do meu amor Terra de nosso Senhor Abre a cortina do passado Tira a mãe preta do cerrado Bota o Rei Congo no congado Canta de novo o trovador A merencória à luz da Lua Toda canção do seu amor Quero ver essa dona caminhando Pelos salões arrastando O seu vestido rendado Esse coqueiro que dá coco Onde eu amarro minha rede Nas noites claras de luar Por essas fontes murmurantes Onde eu mato a minha sede Onde a Lua vem brincar Esse Brasil lindo e trigueiro É o meu Brasil brasileiro Terra de samba e pandeiro Oi! Essas fontes murmurantes Onde eu mato a minha sede Onde a Lua vem brincar Esse Brasil lindo e trigueiro É o meu Brasil brasileiro Terra de samba e pandeiro Brasil!  ", Ary Barroso. ,pt
 Corcovado (Quiet Nights Of Quiet Stars)  ,  João Gilberto ,"  Quiet nights of quiet stars Quiet chords from my guitar Floating on the silence that surrounds us Quiet thoughts and quiet dreams Quiet walks by quiet streams And a window that looks out on Corcovado Oh, how lovely Um cantinho, um violão Esse amor, uma canção Pra fazer feliz a quem se ama Muita calma pra pensar E ter tempo pra sonhar Da janela vê-se o Corcovado O Redentor, que lindo Quero a vida sempre assim Com você perto de mim Até o apagar da velha chama E eu, que era triste Descrente desse mundo Ao encontrar você, eu conheci O que é felicidade, meu amor Quero a vida sempre assim Com você perto de mim Até o apagar da velha chama E eu, que era triste Descrente desse mundo Ao encontrar você, eu conheci O que é felicidade, meu amor  ", Antonio Carlos Jobim. ,pt
 Wave  ,  João Gilberto ,"  Vou te contar, os olhos já não podem ver Coisas que só o coração pode entender Fundamental é mesmo o amor É impossível ser feliz sozinho O resto é mar, é tudo que eu não sei contar São coisas lindas que eu tenho pra te dar Fundamental é mesmo o amor É impossível ser feliz sozinho Da primeira vez era a cidade Da segunda, o cais e a eternidade Agora eu já sei da onda que se ergueu no mar E das estrelas que esquecemos de contar O amor se deixa surpreender Enquanto a noite vem nos envolver Vou te contar, os olhos já não podem ver Coisas que só o coração pode entender Fundamental é mesmo o amor É impossível ser feliz sozinho O resto é mar, é tudo que eu não sei contar São coisas lindas que eu tenho pra te dar Fundamental é mesmo o amor É impossível ser feliz sozinho Da primeira vez era a cidade Da segunda, o cais e a eternidade Agora eu já sei da onda que se ergueu no mar E das estrelas que esquecemos de contar O amor se deixa surpreender Enquanto a noite vem nos envolver Da primeira vez era a cidade Da segunda, o cais e a eternidade Agora eu já sei da onda que se ergueu no mar E das estrelas que esquecemos de contar O amor se deixa surpreender Enquanto a noite vem nos envolver  ", Antonio Carlos Jobim. ,pt
 Desafinado  ,  João Gilberto ,"  Se você disser que eu desafino, amor Saiba que isto em mim provoca imensa dor Só privilegiados têm ouvido igual ao seu Eu possuo apenas o que Deus me deu Se você insiste em classificar Meu comportamento de anti-musical Eu mesmo mentindo devo argumentar Que isto é Bossa Nova, que isto é muito natural O que você não sabe, nem sequer pressente É que os desafinados também têm um coração Fotografei você na minha Roleiflex Revelou-se a sua enorme ingratidão Só não poderá falar assim do meu amor Ele é o maior que você pode encontrar Você com a sua música esqueceu o principal Que no peito dos desafinados No fundo do peito bate calado Que no peito dos desafinados Também bate um coração Se você disser que eu desafino, amor Saiba que isto em mim provoca imensa dor Só privilegiados têm ouvido igual ao seu Eu possuo apenas o que Deus me deu Se você insiste em classificar Meu comportamento de anti-musical Eu mesmo mentindo devo argumentar Que isto é Bossa Nova, que isto é muito natural O que você não sabe, nem sequer pressente É que os desafinados também têm um coração Fotografei você na minha Roleiflex Revelou-se a sua enorme ingratidão Só não poderá falar assim do meu amor Ele é o maior que você pode encontrar Você com a sua música esqueceu o principal Que no peito dos desafinados No fundo do peito bate calado Que no peito dos desafinados Também bate um coração  ", Antonio Carlos Jobim / Newton Mendonça. ,pt
